id,character,series,word,count
16,Sheldon,2.0,leonard,97
17,Sheldon,2.0,penny,90
18,Sheldon,2.0,know,68
19,Sheldon,2.0,one,68
20,Sheldon,2.0,knock,63
21,Sheldon,2.0,right,55
22,Sheldon,2.0,see,54
23,Sheldon,2.0,yes,49
24,Sheldon,2.0,go,47
25,Sheldon,2.0,good,44
26,Sheldon,2.0,time,38
27,Sheldon,2.0,say,35
28,Sheldon,2.0,let,34
29,Sheldon,2.0,work,32
30,Sheldon,2.0,need,29
367,Penny,2.0,know,95
368,Penny,2.0,sheldon,91
369,Penny,2.0,leonard,60
370,Penny,2.0,right,43
371,Penny,2.0,come,37
372,Penny,2.0,really,35
373,Penny,2.0,look,33
374,Penny,2.0,go,31
375,Penny,2.0,one,28
376,Penny,2.0,guys,26
377,Penny,2.0,little,25
378,Penny,2.0,yes,25
379,Penny,2.0,think,25
380,Penny,2.0,want,23
381,Penny,2.0,see,23
775,Howard,2.0,go,38
776,Howard,2.0,know,31
777,Howard,2.0,one,31
778,Howard,2.0,sheldon,29
779,Howard,2.0,leonard,24
780,Howard,2.0,let,24
781,Howard,2.0,come,19
782,Howard,2.0,look,19
783,Howard,2.0,little,19
784,Howard,2.0,raj,19
785,Howard,2.0,right,18
786,Howard,2.0,want,18
787,Howard,2.0,take,18
788,Howard,2.0,penny,17
789,Howard,2.0,say,17
1251,Leonard,2.0,sheldon,95
1252,Leonard,2.0,go,75
1253,Leonard,2.0,know,75
1254,Leonard,2.0,penny,63
1255,Leonard,2.0,want,49
1256,Leonard,2.0,right,46
1257,Leonard,2.0,really,44
1258,Leonard,2.0,yes,41
1259,Leonard,2.0,think,40
1260,Leonard,2.0,let,36
1261,Leonard,2.0,see,32
1262,Leonard,2.0,howard,32
1263,Leonard,2.0,come,32
1264,Leonard,2.0,good,31
1265,Leonard,2.0,look,29
1535,Raj,2.0,go,19
1536,Raj,2.0,know,15
1537,Raj,2.0,sheldon,13
1538,Raj,2.0,dude,12
1539,Raj,2.0,leonard,12
1540,Raj,2.0,one,12
1541,Raj,2.0,people,11
1542,Raj,2.0,penny,8
1543,Raj,2.0,star,8
1544,Raj,2.0,guys,8
1545,Raj,2.0,howard,8
1546,Raj,2.0,way,7
1547,Raj,2.0,yes,7
1548,Raj,2.0,see,7
1549,Raj,2.0,actually,7
