id,character,word,count,uniqueness_score
1,Sheldon,knock,854,780.0171122994652
2,Sheldon,leonard,745,372.75016789791806
3,Sheldon,one,617,224.46285377358492
4,Sheldon,penny,502,217.2448275862069
5,Sheldon,know,816,202.75761266747867
6,Sheldon,amy,348,184.048632218845
7,Sheldon,yes,416,178.9617373319545
8,Sheldon,right,561,166.51904761904763
9,Sheldon,see,403,140.00775862068966
10,Sheldon,time,372,129.57303370786516
11,Sheldon,good,405,124.54441913439636
12,Sheldon,think,393,101.74505928853755
13,Sheldon,hello,178,99.63522012578616
14,Sheldon,say,325,99.45856873822974
15,Sheldon,need,263,94.88203017832647
16,Penny,know,713,154.80176613885504
17,Penny,sheldon,444,100.01826484018264
18,Penny,leonard,383,98.51511081262592
19,Penny,really,319,78.57992277992278
20,Penny,sweetie,78,67.60000000000001
21,Penny,right,356,67.05608465608466
22,Penny,want,326,66.4225
23,Penny,go,339,63.492265193370166
24,Penny,guys,194,60.60547504025765
25,Penny,come,255,57.95454545454545
26,Penny,look,239,55.72780487804879
27,Penny,mean,172,42.08250355618777
28,Penny,god,121,39.677506775067755
29,Penny,sorry,178,38.26570048309179
30,Penny,think,231,35.152173913043484
31,Amy,sheldon,350,62.151192288178585
32,Amy,know,240,17.53958587088916
33,Amy,brain,38,13.127272727272727
34,Amy,boyfriend,34,11.445544554455447
35,Amy,think,129,10.962450592885375
36,Amy,one,134,10.587264150943396
37,Amy,rajesh,21,10.022727272727273
38,Amy,maid,13,9.38888888888889
39,Amy,really,106,8.676447876447876
40,Amy,go,125,8.632596685082873
41,Amy,bestie,9,8.1
42,Amy,bernadette,52,8.071641791044776
43,Amy,want,113,7.980624999999999
44,Amy,good,101,7.745634016704631
45,Amy,feel,60,7.692307692307692
46,Howard,bernie,49,47.07843137254902
47,Howard,know,382,44.43483556638246
48,Howard,go,276,42.08618784530387
49,Howard,bernadette,107,34.17611940298508
50,Howard,space,86,33.92660550458716
51,Howard,right,242,30.986243386243387
52,Howard,raj,127,30.663498098859318
53,Howard,one,213,26.75058962264151
54,Howard,want,203,25.755625
55,Howard,mom,80,25.396825396825395
56,Howard,little,144,22.441558441558442
57,Howard,come,156,21.689839572192515
58,Howard,really,165,21.023166023166024
59,Howard,back,134,20.639080459770117
60,Howard,let,153,20.267532467532465
61,Bernadette,howie,96,91.24752475247524
62,Bernadette,howard,99,14.28717201166181
63,Bernadette,go,133,9.77292817679558
64,Bernadette,know,171,8.904080389768575
65,Bernadette,think,108,7.683794466403163
66,Bernadette,raj,60,6.844106463878327
67,Bernadette,want,99,6.125625
68,Bernadette,maybe,60,5.607476635514018
69,Bernadette,husband,17,5.351851851851852
70,Bernadette,love,53,5.0703971119133575
71,Bernadette,little,68,5.004329004329005
72,Bernadette,really,80,4.942084942084942
73,Bernadette,stuart,31,4.757425742574258
74,Bernadette,baby,30,4.7368421052631575
75,Bernadette,take,59,4.604497354497354
76,Leonard,sheldon,619,194.39928970065955
77,Leonard,know,637,123.55937880633374
78,Leonard,penny,341,100.24224137931034
79,Leonard,want,385,92.640625
80,Leonard,go,391,84.46464088397789
81,Leonard,think,338,75.25955204216073
82,Leonard,really,300,69.4980694980695
83,Leonard,good,291,64.2984054669704
84,Leonard,right,348,64.07619047619048
85,Leonard,come,254,57.50089126559715
86,Leonard,let,241,50.28658008658009
87,Leonard,sure,185,48.408769448373405
88,Leonard,howard,180,47.23032069970845
89,Leonard,us,187,44.889602053915276
90,Leonard,great,170,42.68833087149188
91,Raj,dude,94,87.48514851485149
92,Raj,know,325,32.163520097442145
93,Raj,emily,49,26.097826086956523
94,Raj,oontz,24,24.0
95,Raj,guys,120,23.18840579710145
96,Raj,hee,22,22.0
97,Raj,howard,118,20.29737609329446
98,Raj,india,37,19.013888888888886
99,Raj,one,174,17.851415094339625
100,Raj,think,156,16.031620553359684
101,Raj,want,159,15.800625
102,Raj,right,172,15.652910052910054
103,Raj,go,166,15.224309392265193
104,Raj,say,127,15.187382297551789
105,Raj,lucy,19,15.041666666666666
