id,character,lines
0,Sheldon,1096
1,Leonard,885
2,Penny,769
3,Howard,600
4,Raj,511
5,Amy,465
6,Bernadette,406
7,Scene,331
8,Emily,69
9,Stuart,63
10,Hofstadter,39
11,Cooper,34
12,Dan,30
13,Lorvis,29
14,Man,28
15,Wil,23
16,Koothrapalli,14
17,Koothrappali,13
18,Josh,12
19,Clerk,9
20,Guy,9
21,Fillion,8
22,All,8
23,Girl,8
24,Kevin,7
25,Davis,7
26,Zombie,6
27,Guard,6
28,Sharpe,6
29,Barry,5
30,Rajj,5
31,LeVar,5
32,Amelia,5
33,Mike,5
34,Hawking,4
35,Together,4
36,Voice,4
37,Santa,3
38,Hernandez,3
39,Jeannie,3
40,Kripke,2
41,Alien,2
42,together,1
43,Crowd,1
44,Shldon,1
45,Announcer,1
46,Leoanard,1
47,Flowers,1
48,Sehldon,1
49,Bermadette,1
50,Burton,1
51,Sceme,1
52,coat,1
53,Nathan,1
54,Waitress,1
55,Doctor,1
56,Photographer,1
57,TV,1
58,Ra,1
59,Shedon,1
60,Wheaton,1
61,door,1
62,Caller,1
63,Kevn,1
64,Audiitoner,1
65,Headmaster,1
